run_at,followers_count,reach,profile_views,total_interactions,saves,shares,views,follow_conversion_pct,posts_total,has_error
2026-09-04T12:17:16+00:00,1,0,0,0,0,0,0,,1,False
2026-09-04T12:19:40+00:00,1,0,0,0,0,0,0,,1,False
